GEOID,NAME,B01003_001E,B19013_001E,B19113_001E,B17001_001E,B17001_002E,B03002_001E,B03002_003E,B03002_004E,B03002_006E,B03002_012E,state,county,tract
10001040100,Census Tract 401; Kent County; Delaware,7503,75409,88426,7473,886,7503,6458,417,44,526,10,001,040100
10001040201,Census Tract 402.01; Kent County; Delaware,5280,85956,93144,5263,377,5280,3143,1545,73,323,10,001,040201
10001040203,Census Tract 402.03; Kent County; Delaware,5133,70377,101742,5133,737,5133,2771,1576,60,569,10,001,040203
10001040204,Census Tract 402.04; Kent County; Delaware,6356,96233,120328,6172,244,6356,3114,2099,126,450,10,001,040204
10001040205,Census Tract 402.05; Kent County; Delaware,5170,65723,66777,5170,458,5170,3104,1415,100,319,10,001,040205
10001040206,Census Tract 402.06; Kent County; Delaware,8647,100578,102325,8474,101,8647,3978,3132,399,937,10,001,040206
10001040501,Census Tract 405.01; Kent County; Delaware,4697,62157,64219,4663,835,4697,2339,1596,69,417,10,001,040501
10001040502,Census Tract 405.02; Kent County; Delaware,2754,90227,102639,2754,193,2754,1318,593,5,634,10,001,040502
10001040700,Census Tract 407; Kent County; Delaware,5328,84517,105000,5132,641,5328,2484,1942,135,528,10,001,040700
10001040900,Census Tract 409; Kent County; Delaware,2177,39981,48308,1707,335,2177,1075,712,99,124,10,001,040900
10001041000,Census Tract 410; Kent County; Delaware,7265,60947,67750,7147,1026,7265,2354,3112,245,1233,10,001,041000
10001041101,Census Tract 411.01; Kent County; Delaware,3026,71181,74750,2986,73,3026,1688,343,11,949,10,001,041101
10001041200,Census Tract 412; Kent County; Delaware,4138,75266,79844,4052,456,4138,1400,1201,295,678,10,001,041200
10001041300,Census Tract 413; Kent County; Delaware,2034,37050,34788,2033,715,2034,770,1001,0,127,10,001,041300
10001041400,Census Tract 414; Kent County; Delaware,4141,46549,69102,3957,955,4141,983,2425,51,286,10,001,041400
10001041500,Census Tract 415; Kent County; Delaware,4283,57383,80455,4283,839,4283,2619,1175,19,307,10,001,041500
10001041600,Census Tract 416; Kent County; Delaware,2352,73043,62083,2352,529,2352,1386,462,102,113,10,001,041600
10001041701,Census Tract 417.01; Kent County; Delaware,6325,66703,81283,6315,440,6325,3286,2078,191,442,10,001,041701
10001041702,Census Tract 417.02; Kent County; Delaware,4456,91691,99750,4447,461,4456,2885,1233,105,78,10,001,041702
10001041802,Census Tract 418.02; Kent County; Delaware,5805,60649,87560,5805,187,5805,2950,1759,234,412,10,001,041802
10001041803,Census Tract 418.03; Kent County; Delaware,4477,68800,68580,4477,983,4477,1789,1442,41,929,10,001,041803
10001041804,Census Tract 418.04; Kent County; Delaware,5911,76222,78589,5911,645,5911,3346,1301,356,233,10,001,041804
10001041900,Census Tract 419; Kent County; Delaware,4963,71013,93242,4904,394,4963,4144,237,11,107,10,001,041900
10001042000,Census Tract 420; Kent County; Delaware,2985,92799,100175,2985,214,2985,2764,59,0,5,10,001,042000
10001042100,Census Tract 421; Kent County; Delaware,4506,83438,106016,4495,605,4506,2742,937,28,435,10,001,042100
10001042203,Census Tract 422.03; Kent County; Delaware,6217,97778,118422,6017,361,6217,3507,1951,150,104,10,001,042203
10001042204,Census Tract 422.04; Kent County; Delaware,4952,122500,124764,4952,82,4952,2874,1021,300,353,10,001,042204
10001042205,Census Tract 422.05; Kent County; Delaware,2815,57744,58783,2815,658,2815,1206,920,25,290,10,001,042205
10001042206,Census Tract 422.06; Kent County; Delaware,2605,90805,84097,2605,214,2605,1705,742,0,98,10,001,042206
10001042207,Census Tract 422.07; Kent County; Delaware,2536,103077,102981,2534,187,2536,1743,254,24,204,10,001,042207
10001042208,Census Tract 422.08; Kent County; Delaware,4243,71528,125562,4243,491,4243,2655,953,47,239,10,001,042208
10001042500,Census Tract 425; Kent County; Delaware,4383,41923,56708,4320,1079,4383,1874,1934,84,264,10,001,042500
