cycle,grantee,amount_usd,awarded_date,storefront_address,category,geocoding_confidence,tract_geoid,lat,lon,wilmington_manual_reviewed,notes
5,Bellevue Community Center,22203.0,2026-05,,NCC,pending-disbursement,,,,false,
5,Bennett Orchards,53999.0,2026-05,,supermarket,pending-disbursement,,,,false,
5,Bright Spot Ventures,65000.0,2026-05,,NCC,pending-disbursement,,,,false,
5,Cornerstone Community Center,15000.0,2026-05,,NcCo,pending-disbursement,,,,false,
5,Cornerstone West CDC,15000.0,2026-05,,NCC,pending-disbursement,,,,false,
5,D&J Custom Cutting,44000.0,2026-05,,Statewide,pending-disbursement,,,,false,
5,Dittmar Family Farms,30000.0,2026-05,,Sussex / Kent,pending-disbursement,,,,false,
5,Dominican Café,15000.0,2026-05,,NcCo,pending-disbursement,,,,false,
5,Expanded Branches CDC,16000.0,2026-05,,NCC,pending-disbursement,,,,false,
5,First State Youth,12500.0,2026-05,,NCC,pending-disbursement,,,,false,
5,FLOW,12500.0,2026-05,,NCC,pending-disbursement,,,,false,
5,Food Bank of DE,25000.0,2026-05,,Kent/Sussex,pending-disbursement,,,,false,
5,G’s Delight LLC,12500.0,2026-05,,Sussex,pending-disbursement,,,,false,
5,Harvest Outreach People Project,60000.0,2026-05,,HOPP,pending-disbursement,,,,false,
5,Health Foods for Healthy Kids,15000.0,2026-05,,Kent,pending-disbursement,,,,false,
5,Heritage Urban Farms,14400.0,2026-05,,NCC,pending-disbursement,,,,false,
5,House of David,20000.0,2026-05,,Kent/Sussex,pending-disbursement,,,,false,
5,La Red Health Center,28500.0,2026-05,,Kent/Sussex,pending-disbursement,,,,false,
5,Midas Harvest Urban Farm,30748.0,2026-05,,NCC / Kent,pending-disbursement,,,,false,
5,Milford Advocacy for Homeless,18150.0,2026-05,,Kent/Sussex,pending-disbursement,,,,false,
5,Milton Community Food Pantry,20000.0,2026-05,,Sussex,pending-disbursement,,,,false,
5,Network Connect,20000.0,2026-05,,NCC/Kent,pending-disbursement,,,,false,
5,REACH Riverside,25000.0,2026-05,,NCC,pending-disbursement,,,,false,
5,Southern DE Truck Growers,15000.0,2026-05,,Sussex,pending-disbursement,,,,false,
5,T.A. Farms,30000.0,2026-05,,Statewide,pending-disbursement,,,,false,
5,Unique Minds Changing Lives,45000.0,2026-05,,Sussex,pending-disbursement,,,,false,
5,Victorious Life Church,20000.0,2026-05,,NCC,pending-disbursement,,,,false,
5,YWCA Delaware,12000.0,2026-05,,NCC,pending-disbursement,,,,false,
